customer_id,age,gender,state,city,income_level,top_category,device_type,acquisition_channel,loyalty_tier,session_frequency,avg_session_duration,cart_abandonment_rate,returns_ratio,discount_dependency,avg_order_value,frequency,seasonal_spike_factor,monetary_value,time_between_purchases,recency,net_promoter_score,churn
C00016,51,Male,Tamil Nadu,Coimbatore,Low,Books,Mobile,Organic Search,Non-Prime,19,4.2,0.48,0.02,High,512,4,1.24,2540,91,198,22,1
C00017,21,Male,Kerala,Kochi,Medium,Grocery,Mobile,Influencer,Non-Prime,19,3.5,0.21,0.03,Low,1821,1,1.26,2294,365,553,30,0
C00018,34,Female,West Bengal,Kolkata,Low,Fashion,Mobile,Organic Search,Prime,13,2.7,0.22,0.32,High,1995,9,1.15,20648,41,39,50,0
C00019,22,Female,Gujarat,Ahmedabad,Medium,Grocery,Mobile,Influencer,Prime,20,2.6,0.14,0.02,Medium,2001,6,1.24,14887,61,116,69,0
C00020,59,Male,Gujarat,Ahmedabad,Medium,Books,Mobile,Organic Search,Non-Prime,28,2.5,0.3,0.02,Medium,613,1,1.09,668,365,684,30,1
C00021,48,Female,Telangana,Hyderabad,Low,Home & Kitchen,Desktop,Email,Non-Prime,6,16.7,0.38,0.06,Medium,3269,1,1.29,4217,365,523,25,1
C00022,28,Male,Telangana,Hyderabad,Low,Electronics,Desktop,Social Media,Prime,10,16.2,0.19,0.06,High,9245,8,1.17,86533,46,92,47,0
C00023,48,Female,Kerala,Thiruvananthapuram,Medium,Beauty,Mobile,Social Media,Non-Prime,27,3,0.21,0.06,Medium,2194,1,1.14,2501,365,192,23,0
C00024,56,Female,Tamil Nadu,Chennai,Low,Electronics,Mobile,Social Media,Non-Prime,17,4.9,0.26,0.03,High,7653,1,1.11,8495,365,429,23,0
C00025,58,Male,Maharashtra,Pune,Medium,Home & Kitchen,Desktop,Organic Search,Prime,11,17.8,0.1,0.13,Low,6826,17,1.1,127646,21,25,75,0
C00026,53,Female,Karnataka,Bengaluru,Medium,Fashion,Mobile,Social Media,Prime,17,3.7,0.1,0.34,Medium,2921,7,1.05,21469,52,32,41,0
C00027,59,Female,Tamil Nadu,Coimbatore,Medium,Beauty,Mobile,Influencer,Prime,16,5.9,0.19,0.08,High,1620,5,1.34,10854,73,104,40,0
C00028,45,Female,Tamil Nadu,Chennai,Medium,Home & Kitchen,Mobile,Organic Search,Non-Prime,22,4.2,0.43,0.07,High,4883,1,1.1,5371,365,360,25,1
C00029,55,Female,Tamil Nadu,Chennai,High,Books,Desktop,Social Media,Prime,6,15.5,0.18,0.02,Medium,958,5,1.27,6083,73,42,78,0
C00030,32,Male,Telangana,Hyderabad,Medium,Electronics,Mobile,Social Media,Non-Prime,16,5,0.37,0.04,High,12196,2,1.08,26343,182,128,27,0
C00031,30,Female,Tamil Nadu,Chennai,Medium,Fashion,Mobile,Organic Search,Prime,15,3.9,0.17,0.3,High,2472,8,1.11,21951,46,57,55,0
C00032,29,Male,Maharashtra,Mumbai,High,Fashion,Mobile,Organic Search,Non-Prime,21,5.2,0.31,0.26,Low,4587,1,1.15,5275,365,401,18,1
C00033,52,Female,Karnataka,Bengaluru,Medium,Beauty,Desktop,Email,Prime,4,7.7,0.2,0.11,High,1990,15,1.06,31641,24,26,49,0
C00034,44,Female,West Bengal,Kolkata,Low,Beauty,Mobile,Influencer,Non-Prime,16,5.2,0.26,0.1,Medium,1450,26,1.32,49764,14,16,23,0
C00035,43,Male,Telangana,Hyderabad,Medium,Grocery,Mobile,Paid Ads,Prime,14,3.2,0.13,0.02,High,1843,6,1.25,13822,61,88,75,0
C00036,29,Female,Kerala,Kochi,Low,Fashion,Mobile,Influencer,Prime,18,2.2,0.17,0.33,Medium,1519,5,1.22,9266,73,160,46,0
C00037,43,Female,Telangana,Hyderabad,Low,Grocery,Mobile,Direct,Prime,25,6,0.19,0.04,Medium,1020,8,1.19,9710,46,74,52,0
C00038,29,Male,Karnataka,Mysuru,Medium,Books,Mobile,Social Media,Prime,27,3.1,0.15,0.01,Medium,819,6,1.08,5307,61,95,73,0
C00039,41,Female,West Bengal,Kolkata,Medium,Electronics,Mobile,Direct,Non-Prime,24,5,0.19,0.05,Low,14636,1,1.27,18588,365,611,11,1
C00040,45,Male,West Bengal,Kolkata,High,Grocery,Mobile,Organic Search,Prime,17,2.3,0.14,0.01,Low,2445,4,1.34,13105,91,78,71,0
C00041,35,Male,West Bengal,Kolkata,High,Grocery,Mobile,Social Media,Prime,12,5.3,0.19,0.03,High,2183,26,1.15,65272,14,30,64,0
C00042,46,Male,Karnataka,Mysuru,Low,Electronics,Mobile,Direct,Non-Prime,25,5,0.27,0.07,High,8175,1,1.09,8911,365,512,23,1
C00043,47,Female,Gujarat,Ahmedabad,High,Fashion,Desktop,Email,Prime,3,6.8,0.17,0.22,Medium,4490,7,1.35,42430,52,86,44,0
C00044,51,Male,Delhi,New Delhi,Medium,Fashion,Mobile,Organic Search,Non-Prime,22,2.5,0.21,0.33,Medium,2906,1,1.17,3400,365,344,24,0
C00045,57,Male,Karnataka,Bengaluru,Medium,Electronics,Mobile,Social Media,Prime,20,5.9,0.19,0.07,Medium,16008,9,1.23,177209,41,78,54,0
C00046,29,Female,Delhi,New Delhi,Medium,Fashion,Mobile,Paid Ads,Non-Prime,13,5.6,0.25,0.28,Medium,3048,1,1.23,3749,365,319,28,0
C00047,31,Female,Kerala,Thiruvananthapuram,Medium,Grocery,Mobile,Social Media,Non-Prime,12,3.6,0.46,0.03,High,1468,2,1.13,3318,182,337,26,1
C00048,30,Female,Delhi,New Delhi,Medium,Books,Mobile,Social Media,Non-Prime,13,3.7,0.36,0.04,High,774,2,1.06,1641,182,192,26,0
C00049,42,Male,Delhi,New Delhi,Low,Electronics,Desktop,Organic Search,Prime,10,17.7,0.19,0.07,High,8854,8,1.09,77207,46,70,47,0
C00050,21,Male,Telangana,Hyderabad,Low,Books,Mobile,Direct,Prime,14,3.2,0.21,0.05,High,363,6,1.12,2439,61,88,48,0
C00051,23,Male,Tamil Nadu,Coimbatore,Low,Electronics,Desktop,Email,Non-Prime,3,10.3,0.24,0.04,Medium,11151,11,1.05,128794,33,24,21,0
C00052,36,Male,Telangana,Hyderabad,Medium,Electronics,Desktop,Email,Non-Prime,11,9.6,0.35,0.06,Medium,19824,2,1.19,47181,182,142,25,0
C00053,27,Male,Maharashtra,Mumbai,High,Home & Kitchen,Desktop,Influencer,Prime,3,12.4,0.14,0.13,Medium,7399,6,1.26,55936,61,67,44,0
C00054,50,Male,Telangana,Hyderabad,Low,Electronics,Mobile,Influencer,Non-Prime,17,5.2,0.47,0.07,High,8359,2,1.14,19059,182,146,21,0
C00055,45,Female,Maharashtra,Pune,Medium,Beauty,Desktop,Email,Prime,8,7.8,0.11,0.06,Medium,1966,7,1.09,15001,52,99,88,0
C00056,29,Female,West Bengal,Kolkata,High,Fashion,Mobile,Social Media,Non-Prime,17,3.6,0.29,0.3,Medium,4451,5,1.14,25371,73,102,27,0
C00057,30,Female,West Bengal,Kolkata,High,Grocery,Desktop,Organic Search,Non-Prime,11,9.8,0.42,0.04,High,2061,8,1.14,18796,46,69,20,0
C00058,31,Male,Delhi,New Delhi,Medium,Electronics,Mobile,Direct,Non-Prime,29,4.4,0.47,0.03,High,14501,1,1.23,17836,365,654,21,1
C00059,39,Female,Gujarat,Ahmedabad,Medium,Grocery,Mobile,Organic Search,Non-Prime,26,3.7,0.2,0.03,Low,1849,3,1.06,5880,122,109,22,0
C00060,26,Female,Delhi,New Delhi,Low,Grocery,Mobile,Email,Prime,24,4.9,0.14,0.03,High,928,16,1.26,18708,23,23,63,0
C00061,29,Male,Kerala,Kochi,Medium,Electronics,Mobile,Direct,Non-Prime,14,2.1,0.41,0.06,Medium,16125,2,1.2,38700,182,222,31,0
C00062,40,Female,Karnataka,Mysuru,Low,Books,Mobile,Direct,Prime,23,5.4,0.09,0.02,Medium,598,7,1.16,4856,52,86,80,0
C00063,39,Female,Gujarat,Ahmedabad,Low,Fashion,Mobile,Social Media,Non-Prime,15,3.1,0.3,0.3,Medium,1215,1,1.14,1385,365,477,26,0
C00064,45,Female,Delhi,New Delhi,Medium,Home & Kitchen,Desktop,Direct,Prime,7,16.8,0.06,0.12,Low,5721,5,1.14,32610,73,49,67,0
C00065,58,Male,Gujarat,Ahmedabad,High,Electronics,Mobile,Influencer,Prime,13,5.3,0.13,0.05,Low,35510,5,1.22,216611,73,58,73,0
C00066,26,Female,West Bengal,Kolkata,Low,Grocery,Mobile,Direct,Non-Prime,28,2.1,0.39,0.04,High,845,1,1.28,1082,365,572,22,1
C00067,40,Male,Gujarat,Ahmedabad,Medium,Fashion,Desktop,Organic Search,Non-Prime,4,10.6,0.49,0.27,High,2409,2,1.18,5685,182,343,26,1
C00068,35,Female,West Bengal,Kolkata,High,Home & Kitchen,Mobile,Paid Ads,Prime,20,3.7,0.17,0.09,Medium,9032,6,1.34,72617,61,34,50,0
C00069,26,Male,Karnataka,Mysuru,Low,Fashion,Mobile,Email,Non-Prime,23,5.2,0.32,0.17,Medium,2282,1,1.19,2716,365,650,29,1
C00070,25,Female,Kerala,Thiruvananthapuram,Low,Home & Kitchen,Mobile,Organic Search,Prime,24,5.5,0.12,0.1,Medium,2843,9,1.23,31472,41,57,75,0
C00071,57,Female,Maharashtra,Mumbai,High,Electronics,Mobile,Organic Search,Prime,20,2.8,0.17,0.06,Low,31440,21,1.31,864914,17,37,41,0
C00072,18,Female,Karnataka,Mysuru,High,Fashion,Desktop,Organic Search,Prime,6,14.5,0.08,0.23,Medium,3957,6,1.13,26828,61,61,49,0
C00073,23,Male,Telangana,Hyderabad,High,Books,Mobile,Direct,Non-Prime,11,4.8,0.25,0.03,Medium,804,2,1.22,1962,182,383,17,1
C00074,33,Female,Delhi,New Delhi,Low,Grocery,Mobile,Organic Search,Non-Prime,14,5.9,0.3,0.02,Medium,1060,3,1.15,3657,122,197,29,0
C00075,37,Female,Delhi,New Delhi,Low,Fashion,Mobile,Email,Prime,10,5.6,0.18,0.29,High,1679,4,1.29,8664,91,102,44,0
C00076,33,Male,West Bengal,Kolkata,High,Fashion,Mobile,Email,Prime,10,5.3,0.14,0.29,Low,4559,12,1.13,61820,30,16,50,0
C00077,23,Male,Maharashtra,Mumbai,High,Books,Mobile,Influencer,Prime,20,3.5,0.13,0.04,Low,960,7,1.18,7930,52,59,80,0
C00078,27,Female,Gujarat,Ahmedabad,High,Beauty,Mobile,Influencer,Non-Prime,17,2.2,0.27,0.12,Medium,2576,3,1.31,10124,122,250,20,0
C00079,23,Male,Delhi,New Delhi,Medium,Books,Mobile,Organic Search,Non-Prime,25,5.7,0.25,0.03,Low,825,16,1.05,13860,23,33,28,0
C00080,29,Male,Gujarat,Ahmedabad,Medium,Electronics,Mobile,Email,Non-Prime,26,2.1,0.41,0.08,Medium,12779,1,1.12,14312,365,206,39,0
C00081,57,Male,Tamil Nadu,Coimbatore,Low,Home & Kitchen,Mobile,Paid Ads,Prime,16,5.3,0.09,0.08,Medium,3227,13,1.11,46566,28,58,72,0
C00082,27,Male,Telangana,Hyderabad,Low,Electronics,Mobile,Organic Search,Prime,10,2.9,0.14,0.06,High,7170,8,1.31,75142,46,93,72,0
C00083,42,Male,Karnataka,Mysuru,Medium,Fashion,Mobile,Organic Search,Non-Prime,14,3,0.43,0.25,Medium,2056,1,1.31,2693,365,533,23,1
C00084,49,Male,Karnataka,Mysuru,High,Grocery,Mobile,Social Media,Prime,23,4.9,0.14,0.03,Low,2330,14,1.17,38165,26,23,74,0
C00085,19,Female,Telangana,Hyderabad,Medium,Beauty,Mobile,Organic Search,Prime,21,2.7,0.13,0.1,Medium,2028,27,1.22,66802,14,25,81,0
C00086,24,Female,West Bengal,Kolkata,Medium,Beauty,Desktop,Direct,Prime,7,8,0.2,0.07,High,1944,28,1.16,63141,13,15,57,0
C00087,34,Female,Telangana,Hyderabad,Medium,Home & Kitchen,Mobile,Direct,Prime,26,3.2,0.17,0.09,High,3650,5,1.13,20622,73,158,45,0
C00088,47,Male,Karnataka,Mysuru,Medium,Electronics,Mobile,Direct,Non-Prime,14,2.2,0.27,0.04,Medium,14615,1,1.25,18269,365,289,24,0
C00089,35,Male,Gujarat,Ahmedabad,Medium,Home & Kitchen,Mobile,Direct,Prime,16,4.5,0.23,0.11,High,5869,8,1.05,49300,46,70,48,0
C00090,26,Male,Karnataka,Bengaluru,Medium,Beauty,Mobile,Direct,Prime,24,2.8,0.12,0.08,Low,2461,8,1.24,24413,46,65,80,0
C00091,53,Male,Telangana,Hyderabad,Medium,Electronics,Mobile,Email,Non-Prime,27,3.8,0.24,0.06,Low,17445,1,1.27,22155,365,553,19,1
C00092,28,Female,Delhi,New Delhi,Medium,Home & Kitchen,Mobile,Organic Search,Prime,18,2.2,0.19,0.08,Medium,4514,24,1.34,145170,15,31,56,0
C00093,23,Male,Kerala,Thiruvananthapuram,Medium,Beauty,Mobile,Direct,Prime,27,3.9,0.25,0.09,High,1418,4,1.19,6750,91,129,51,0
C00094,18,Male,Telangana,Hyderabad,Medium,Beauty,Desktop,Social Media,Prime,8,13.8,0.13,0.11,High,1231,5,1.08,6647,73,155,54,0
C00095,37,Male,Tamil Nadu,Chennai,Medium,Beauty,Desktop,Organic Search,Non-Prime,7,15.3,0.25,0.08,Low,2301,1,1.15,2646,365,746,36,1
C00096,52,Male,Delhi,New Delhi,Medium,Books,Mobile,Direct,Prime,16,4.2,0.11,0.03,Low,801,6,1.08,5190,61,57,78,0
C00097,31,Male,Telangana,Hyderabad,Medium,Books,Mobile,Email,Prime,17,4.8,0.12,0.02,Medium,609,22,1.27,17015,17,15,85,0
C00098,21,Female,Tamil Nadu,Coimbatore,Medium,Fashion,Mobile,Organic Search,Prime,16,4.2,0.11,0.19,Medium,2325,8,1.13,21018,46,74,44,0
C00099,55,Female,Kerala,Thiruvananthapuram,Low,Fashion,Mobile,Direct,Prime,26,4.8,0.11,0.27,Medium,1794,6,1.07,11517,61,98,53,0
C00100,48,Male,Telangana,Hyderabad,High,Electronics,Mobile,Organic Search,Non-Prime,25,2.7,0.23,0.03,Low,39568,23,1.07,973768,16,26,26,0
C00101,19,Female,Karnataka,Bengaluru,Low,Fashion,Mobile,Organic Search,Prime,27,4.8,0.09,0.23,Medium,1669,5,1.1,9180,73,146,56,0
C00102,58,Female,Gujarat,Ahmedabad,Medium,Home & Kitchen,Mobile,Paid Ads,Prime,26,2.5,0.07,0.12,Low,4501,9,1.32,53472,41,47,79,0
C00103,30,Male,West Bengal,Kolkata,Low,Electronics,Mobile,Direct,Prime,29,5.8,0.14,0.04,Medium,7779,11,1.13,96693,33,58,93,0
C00104,57,Female,West Bengal,Kolkata,Medium,Home & Kitchen,Mobile,Direct,Non-Prime,13,4.7,0.22,0.08,Medium,6974,1,1.2,8369,365,677,37,0
C00105,40,Female,Telangana,Hyderabad,Low,Beauty,Desktop,Social Media,Non-Prime,5,12.1,0.33,0.06,High,1071,2,1.15,2463,182,156,28,0
C00106,54,Male,West Bengal,Kolkata,Low,Books,Mobile,Social Media,Non-Prime,16,4.8,0.44,0.04,High,632,1,1.3,822,365,767,22,1
C00107,23,Male,Kerala,Kochi,Low,Electronics,Mobile,Email,Non-Prime,28,3.4,0.27,0.03,High,7043,1,1.11,7818,365,671,19,1
C00108,37,Female,Kerala,Kochi,High,Beauty,Desktop,Organic Search,Non-Prime,7,16.2,0.4,0.06,High,2696,2,1.27,6848,182,375,29,0
C00109,42,Female,Karnataka,Bengaluru,Low,Fashion,Desktop,Direct,Non-Prime,4,7.8,0.31,0.27,Low,2216,2,1.06,4698,182,274,15,0
C00110,54,Male,Telangana,Hyderabad,Medium,Fashion,Desktop,Organic Search,Prime,8,6.3,0.11,0.31,Low,2436,5,1.15,14007,73,63,47,0
C00111,18,Male,Maharashtra,Mumbai,Low,Electronics,Mobile,Organic Search,Non-Prime,21,2.1,0.48,0.03,High,8638,1,1.1,9502,365,777,27,1
C00112,55,Male,Tamil Nadu,Coimbatore,Medium,Electronics,Mobile,Social Media,Non-Prime,17,5.3,0.31,0.04,High,16089,2,1.2,38614,182,316,40,0
C00113,33,Male,West Bengal,Kolkata,Low,Electronics,Mobile,Paid Ads,Non-Prime,11,5.1,0.46,0.07,High,9107,6,1.11,60653,61,129,31,0
C00114,25,Female,Maharashtra,Pune,Low,Fashion,Mobile,Email,Non-Prime,27,2.2,0.29,0.27,High,1903,2,1.1,4187,182,164,34,0
C00115,42,Female,Tamil Nadu,Chennai,High,Fashion,Mobile,Influencer,Non-Prime,20,5.2,0.22,0.15,Medium,4300,3,1.26,16254,122,90,36,0
C00116,40,Female,Karnataka,Mysuru,Low,Fashion,Mobile,Paid Ads,Prime,25,5.5,0.14,0.34,Medium,1695,10,1.17,19832,36,52,50,0
C00117,37,Female,Karnataka,Bengaluru,Low,Books,Desktop,Direct,Prime,10,6.3,0.25,0.04,High,361,8,1.28,3697,46,67,50,0
C00118,24,Male,Tamil Nadu,Chennai,High,Electronics,Mobile,Email,Non-Prime,10,4.3,0.26,0.07,High,39731,2,1.27,100917,182,156,18,0
C00119,54,Male,Maharashtra,Mumbai,Medium,Beauty,Mobile,Social Media,Non-Prime,11,4.8,0.21,0.11,Medium,1533,1,1.11,1702,365,717,29,1
C00120,18,Male,Gujarat,Ahmedabad,Low,Electronics,Mobile,Organic Search,Non-Prime,10,4.4,0.35,0.07,Low,12520,3,1.2,45072,122,212,21,0
C00121,21,Female,Kerala,Kochi,High,Beauty,Mobile,Direct,Non-Prime,19,3.3,0.37,0.11,Medium,3058,1,1.27,3884,365,186,29,0
C00122,25,Male,West Bengal,Kolkata,Low,Electronics,Mobile,Direct,Non-Prime,10,4,0.28,0.04,High,9814,1,1.1,10795,365,583,18,1
C00123,32,Male,Gujarat,Ahmedabad,Low,Home & Kitchen,Mobile,Direct,Prime,22,3.4,0.13,0.06,Medium,3959,26,1.27,130726,14,15,67,0
C00124,24,Female,Maharashtra,Pune,Medium,Home & Kitchen,Desktop,Organic Search,Prime,8,9,0.11,0.09,Low,4835,5,1.34,32395,73,44,69,0
C00125,45,Female,Karnataka,Bengaluru,Low,Home & Kitchen,Mobile,Organic Search,Prime,16,4,0.12,0.12,Medium,3958,8,1.06,33564,46,80,48,0
C00126,44,Female,Telangana,Hyderabad,Low,Home & Kitchen,Mobile,Paid Ads,Non-Prime,29,4.5,0.33,0.11,High,2248,1,1.16,2608,365,666,20,1
C00127,28,Male,Maharashtra,Pune,High,Electronics,Mobile,Social Media,Non-Prime,13,3.5,0.38,0.06,Medium,37994,1,1.05,39894,365,441,31,0
C00128,44,Male,Tamil Nadu,Chennai,High,Fashion,Desktop,Influencer,Non-Prime,9,7,0.22,0.24,Low,4623,1,1.2,5548,365,477,14,1
C00129,38,Male,Kerala,Thiruvananthapuram,Low,Fashion,Desktop,Email,Non-Prime,5,10.2,0.35,0.24,Medium,2186,1,1.26,2754,365,612,27,1
C00130,28,Male,Maharashtra,Pune,Medium,Beauty,Mobile,Direct,Non-Prime,14,5.2,0.25,0.07,Medium,1576,4,1.16,7313,91,106,35,0
C00131,56,Female,Telangana,Hyderabad,Low,Home & Kitchen,Mobile,Organic Search,Non-Prime,15,2.2,0.19,0.11,Low,2374,2,1.33,6315,182,191,19,0
C00132,51,Female,Tamil Nadu,Chennai,Medium,Fashion,Mobile,Direct,Prime,12,5.3,0.2,0.19,Medium,2952,7,1.27,26243,52,95,52,0
C00133,29,Female,Maharashtra,Pune,Medium,Fashion,Mobile,Social Media,Non-Prime,26,4.3,0.32,0.15,High,2095,1,1.33,2786,365,400,20,1
C00134,59,Male,Delhi,New Delhi,High,Electronics,Mobile,Influencer,Prime,29,4,0.14,0.03,High,21064,13,1.34,366935,28,22,70,0
C00135,57,Female,Delhi,New Delhi,Low,Beauty,Desktop,Direct,Prime,5,17.3,0.2,0.08,Medium,1104,5,1.2,6624,73,66,52,0
C00136,39,Male,Tamil Nadu,Coimbatore,Low,Electronics,Mobile,Organic Search,Non-Prime,23,2,0.38,0.08,High,8108,1,1.21,9811,365,690,19,1
C00137,52,Female,Telangana,Hyderabad,Low,Beauty,Mobile,Email,Non-Prime,10,4.1,0.21,0.1,Medium,877,1,1.14,1000,365,307,20,0
C00138,50,Female,Kerala,Thiruvananthapuram,Low,Home & Kitchen,Mobile,Social Media,Non-Prime,25,4.7,0.4,0.12,High,2733,1,1.18,3225,365,690,20,1
C00139,24,Male,West Bengal,Kolkata,Medium,Grocery,Mobile,Social Media,Non-Prime,17,2.9,0.23,0.03,Medium,1788,10,1.08,19310,36,55,22,0
C00140,29,Male,Maharashtra,Mumbai,Low,Grocery,Mobile,Direct,Non-Prime,21,5.2,0.34,0.04,Medium,1057,1,1.31,1385,365,291,21,0
C00141,25,Female,Delhi,New Delhi,High,Home & Kitchen,Mobile,Direct,Prime,11,2.5,0.16,0.06,Low,7679,11,1.17,98829,33,59,89,0
C00142,27,Female,Tamil Nadu,Chennai,Medium,Beauty,Mobile,Organic Search,Non-Prime,17,2.9,0.41,0.05,Medium,1660,1,1.21,2009,365,461,18,1
C00143,47,Male,Maharashtra,Mumbai,Low,Fashion,Mobile,Email,Prime,11,3.9,0.16,0.17,High,1460,10,1.33,19418,36,70,55,0
C00144,53,Female,Kerala,Thiruvananthapuram,Low,Home & Kitchen,Desktop,Direct,Non-Prime,8,14.7,0.23,0.12,Low,2937,3,1.34,11807,122,238,26,0
C00145,40,Female,West Bengal,Kolkata,Low,Fashion,Mobile,Social Media,Prime,11,3.4,0.1,0.19,Medium,1599,12,1.22,23409,30,18,49,0
C00146,38,Female,West Bengal,Kolkata,Medium,Electronics,Mobile,Organic Search,Prime,11,2.2,0.05,0.06,Low,20623,4,1.3,107240,91,74,74,0
C00147,50,Female,Delhi,New Delhi,Low,Beauty,Mobile,Email,Non-Prime,20,5.7,0.41,0.09,Medium,1333,2,1.07,2853,182,191,19,0
C00148,38,Male,West Bengal,Kolkata,Medium,Electronics,Desktop,Direct,Prime,9,14.8,0.2,0.04,High,10921,10,1.07,116855,36,39,44,0
C00149,23,Female,Maharashtra,Mumbai,High,Home & Kitchen,Mobile,Organic Search,Non-Prime,26,4.1,0.24,0.08,Low,7547,5,1.27,47923,73,72,23,0
C00150,53,Female,Gujarat,Ahmedabad,Medium,Grocery,Mobile,Organic Search,Non-Prime,25,3.1,0.33,0.03,Low,1760,3,1.27,6706,122,202,24,0
C00151,59,Female,Kerala,Kochi,Low,Beauty,Desktop,Influencer,Non-Prime,10,7.2,0.32,0.09,High,981,1,1.05,1030,365,613,20,1
C00152,39,Male,Telangana,Hyderabad,Medium,Fashion,Mobile,Direct,Prime,24,2.5,0.12,0.22,Low,3646,13,1.29,61143,28,56,48,0
C00153,47,Male,Delhi,New Delhi,Low,Electronics,Mobile,Direct,Non-Prime,23,3.2,0.25,0.04,High,7206,1,1.15,8287,365,333,24,0
C00154,41,Female,Kerala,Thiruvananthapuram,Medium,Grocery,Mobile,Direct,Non-Prime,21,4.8,0.36,0.03,Medium,1657,1,1.12,1856,365,563,16,1
C00155,38,Male,Karnataka,Bengaluru,High,Home & Kitchen,Mobile,Organic Search,Prime,19,4.1,0.15,0.11,Low,7735,8,1.22,75494,46,85,49,0
C00156,42,Female,Gujarat,Ahmedabad,High,Beauty,Desktop,Organic Search,Prime,5,14.6,0.17,0.08,Low,3056,10,1.12,34227,36,37,47,0
C00157,22,Male,West Bengal,Kolkata,Medium,Beauty,Desktop,Organic Search,Non-Prime,10,9.4,0.44,0.07,High,1323,1,1.09,1442,365,637,21,1
C00158,56,Female,Kerala,Thiruvananthapuram,Low,Fashion,Mobile,Organic Search,Non-Prime,11,4.8,0.19,0.33,Low,1380,27,1.15,42849,14,13,20,0
C00159,44,Female,Delhi,New Delhi,High,Grocery,Desktop,Email,Prime,10,6.5,0.14,0.02,Low,2283,4,1.26,11506,91,105,64,0
C00160,39,Female,Telangana,Hyderabad,Low,Books,Mobile,Direct,Prime,12,4.5,0.14,0.05,Medium,456,6,1.06,2900,61,47,94,0
C00161,59,Female,Karnataka,Mysuru,Medium,Home & Kitchen,Mobile,Organic Search,Prime,17,4.7,0.19,0.1,High,4652,6,1.25,34890,61,80,49,0
C00162,19,Male,Maharashtra,Pune,High,Home & Kitchen,Desktop,Influencer,Prime,11,6.3,0.09,0.1,Low,8558,16,1.09,149252,23,40,88,0
C00163,47,Male,Telangana,Hyderabad,Low,Grocery,Mobile,Organic Search,Prime,28,5.6,0.25,0.03,High,1237,7,1.05,9092,52,112,43,0
C00164,59,Male,Tamil Nadu,Coimbatore,Low,Home & Kitchen,Mobile,Email,Non-Prime,15,4.8,0.29,0.11,High,1653,1,1.11,1835,365,511,33,0
C00165,35,Male,Delhi,New Delhi,Low,Electronics,Mobile,Social Media,Non-Prime,17,5,0.37,0.03,Medium,11288,2,1.32,29800,182,249,21,0
C00166,36,Male,Kerala,Kochi,High,Fashion,Desktop,Social Media,Non-Prime,11,13.2,0.41,0.25,Medium,4161,1,1.13,4702,365,708,16,1
