customer_id,recency,frequency,monetary_value,R_score,F_score,M_score,RFM_Score,RFM_Segment,Cluster
C00047,337,2,3318,2,2,2,6,At Risk,0
C00048,192,2,1641,3,2,1,6,At Risk,3
C00049,70,8,77207,4,4,5,13,Champions,3
C00050,88,6,2439,4,4,1,9,Potential Loyalists,3
C00051,24,11,128794,5,5,5,15,Champions,3
C00052,142,2,47181,3,2,5,10,Loyal Customers,3
C00053,67,6,55936,4,4,5,13,Champions,3
C00054,146,2,19059,3,2,4,9,Potential Loyalists,3
C00055,99,7,15001,3,4,3,10,Loyal Customers,3
C00056,102,5,25371,3,3,4,10,Loyal Customers,3
C00057,69,8,18796,4,4,4,12,Loyal Customers,3
C00058,654,1,17836,1,1,4,6,At Risk,0
C00059,109,3,5880,3,3,2,8,Potential Loyalists,3
C00060,23,16,18708,5,5,4,14,Champions,3
C00061,222,2,38700,2,2,4,8,Potential Loyalists,3
C00062,86,7,4856,4,4,2,10,Loyal Customers,3
C00063,477,1,1385,1,1,1,3,Lost,0
C00064,49,5,32610,5,3,4,12,Loyal Customers,3
C00065,58,5,216611,4,3,5,12,Loyal Customers,3
C00066,572,1,1082,1,1,1,3,Lost,0
C00067,343,2,5685,2,2,2,6,At Risk,0
C00068,34,6,72617,5,4,5,14,Champions,3
C00069,650,1,2716,1,1,1,3,Lost,0
C00070,57,9,31472,4,5,4,13,Champions,3
C00071,37,21,864914,5,5,5,15,Champions,1
C00072,61,6,26828,4,4,4,12,Loyal Customers,3
C00073,383,2,1962,2,2,1,5,At Risk,0
C00074,197,3,3657,3,3,2,8,Potential Loyalists,3
C00075,102,4,8664,3,3,3,9,Potential Loyalists,3
C00076,16,12,61820,5,5,5,15,Champions,3
C00077,59,7,7930,4,4,2,10,Loyal Customers,3
C00078,250,3,10124,2,3,3,8,Potential Loyalists,3
C00079,33,16,13860,5,5,3,13,Champions,3
C00080,206,1,14312,2,1,3,6,At Risk,3
C00081,58,13,46566,4,5,5,14,Champions,3
C00082,93,8,75142,4,4,5,13,Champions,3
C00083,533,1,2693,1,1,1,3,Lost,0
C00084,23,14,38165,5,5,4,14,Champions,3
C00085,25,27,66802,5,5,5,15,Champions,2
C00086,15,28,63141,5,5,5,15,Champions,2
C00087,158,5,20622,3,3,4,10,Loyal Customers,3
C00088,289,1,18269,2,1,4,7,Potential Loyalists,0
C00089,70,8,49300,4,4,5,13,Champions,3
C00090,65,8,24413,4,4,4,12,Loyal Customers,3
C00091,553,1,22155,1,1,4,6,At Risk,0
C00092,31,24,145170,5,5,5,15,Champions,2
C00093,129,4,6750,3,3,2,8,Potential Loyalists,3
C00094,155,5,6647,3,3,2,8,Potential Loyalists,3
C00095,746,1,2646,1,1,1,3,Lost,0
C00096,57,6,5190,4,4,2,10,Loyal Customers,3
C00097,15,22,17015,5,5,3,13,Champions,2
C00098,74,8,21018,4,4,4,12,Loyal Customers,3
C00099,98,6,11517,3,4,3,10,Loyal Customers,3
C00100,26,23,973768,5,5,5,15,Champions,1
C00101,146,5,9180,3,3,3,9,Potential Loyalists,3
C00102,47,9,53472,5,5,5,15,Champions,3
C00103,58,11,96693,4,5,5,14,Champions,3
C00104,677,1,8369,1,1,3,5,At Risk,0
C00105,156,2,2463,3,2,1,6,At Risk,3
C00106,767,1,822,1,1,1,3,Lost,0
C00107,671,1,7818,1,1,2,4,Lost,0
C00108,375,2,6848,2,2,2,6,At Risk,0
C00109,274,2,4698,2,2,2,6,At Risk,3
C00110,63,5,14007,4,3,3,10,Loyal Customers,3
C00111,777,1,9502,1,1,3,5,At Risk,0
C00112,316,2,38614,2,2,4,8,Potential Loyalists,0
C00113,129,6,60653,3,4,5,12,Loyal Customers,3
C00114,164,2,4187,3,2,2,7,Potential Loyalists,3
C00115,90,3,16254,4,3,3,10,Loyal Customers,3
C00116,52,10,19832,5,5,4,14,Champions,3
C00117,67,8,3697,4,4,2,10,Loyal Customers,3
C00118,156,2,100917,3,2,5,10,Loyal Customers,3
C00119,717,1,1702,1,1,1,3,Lost,0
C00120,212,3,45072,2,3,5,10,Loyal Customers,3
C00121,186,1,3884,3,1,2,6,At Risk,3
C00122,583,1,10795,1,1,3,5,At Risk,0
C00123,15,26,130726,5,5,5,15,Champions,2
C00124,44,5,32395,5,3,4,12,Loyal Customers,3
C00125,80,8,33564,4,4,4,12,Loyal Customers,3
C00126,666,1,2608,1,1,1,3,Lost,0
C00127,441,1,39894,1,1,4,6,At Risk,0
C00128,477,1,5548,1,1,2,4,Lost,0
C00129,612,1,2754,1,1,1,3,Lost,0
C00130,106,4,7313,3,3,2,8,Potential Loyalists,3
C00131,191,2,6315,3,2,2,7,Potential Loyalists,3
C00132,95,7,26243,4,4,4,12,Loyal Customers,3
C00133,400,1,2786,2,1,1,4,Lost,0
C00134,22,13,366935,5,5,5,15,Champions,1
C00135,66,5,6624,4,3,2,9,Potential Loyalists,3
C00136,690,1,9811,1,1,3,5,At Risk,0
C00137,307,1,1000,2,1,1,4,Lost,0
C00138,690,1,3225,1,1,2,4,Lost,0
C00139,55,10,19310,4,5,4,13,Champions,3
C00140,291,1,1385,2,1,1,4,Lost,0
C00141,59,11,98829,4,5,5,14,Champions,3
C00142,461,1,2009,1,1,1,3,Lost,0
C00143,70,10,19418,4,5,4,13,Champions,3
C00144,238,3,11807,2,3,3,8,Potential Loyalists,3
C00145,18,12,23409,5,5,4,14,Champions,3
C00146,74,4,107240,4,3,5,12,Loyal Customers,3
C00147,191,2,2853,3,2,1,6,At Risk,3
C00148,39,10,116855,5,5,5,15,Champions,3
C00149,72,5,47923,4,3,5,12,Loyal Customers,3
C00150,202,3,6706,2,3,2,7,Potential Loyalists,3
C00151,613,1,1030,1,1,1,3,Lost,0
C00152,56,13,61143,4,5,5,14,Champions,3
C00153,333,1,8287,2,1,3,6,At Risk,0
C00154,563,1,1856,1,1,1,3,Lost,0
C00155,85,8,75494,4,4,5,13,Champions,3
C00156,37,10,34227,5,5,4,14,Champions,3
C00157,637,1,1442,1,1,1,3,Lost,0
C00158,13,27,42849,5,5,5,15,Champions,2
C00159,105,4,11506,3,3,3,9,Potential Loyalists,3
C00160,47,6,2900,5,4,1,10,Loyal Customers,3
C00161,80,6,34890,4,4,4,12,Loyal Customers,3
C00162,40,16,149252,5,5,5,15,Champions,3
C00163,112,7,9092,3,4,3,10,Loyal Customers,3
C00164,511,1,1835,1,1,1,3,Lost,0
C00165,249,2,29800,2,2,4,8,Potential Loyalists,3
C00166,708,1,4702,1,1,2,4,Lost,0
C00167,91,5,205231,4,3,5,12,Loyal Customers,3
C00168,62,8,17559,4,4,4,12,Loyal Customers,3
C00169,502,1,44094,1,1,5,7,Potential Loyalists,0
C00170,129,4,2544,3,3,1,7,Potential Loyalists,3
C00171,247,2,17163,2,2,4,8,Potential Loyalists,3
C00172,738,1,6278,1,1,2,4,Lost,0
C00173,489,1,2592,1,1,1,3,Lost,0
C00174,60,5,11517,4,3,3,10,Loyal Customers,3
C00175,769,1,1119,1,1,1,3,Lost,0
C00176,67,8,50888,4,4,5,13,Champions,3
C00177,314,1,5927,2,1,2,5,At Risk,0
C00178,91,4,18110,4,3,4,11,Loyal Customers,3
C00179,417,1,5677,2,1,2,5,At Risk,0
C00180,88,6,5017,4,4,2,10,Loyal Customers,3
C00181,569,1,780,1,1,1,3,Lost,0
C00182,299,2,17095,2,2,4,8,Potential Loyalists,0
C00183,57,10,241070,4,5,5,14,Champions,3
C00184,50,4,10347,5,3,3,11,Loyal Customers,3
C00185,110,5,49011,3,3,5,11,Loyal Customers,3
C00186,349,1,11326,2,1,3,6,At Risk,0
C00187,252,1,9143,2,1,3,6,At Risk,3
C00188,467,1,5282,1,1,2,4,Lost,0
C00189,59,6,14986,4,4,3,11,Loyal Customers,3
C00190,203,1,3002,2,1,1,4,Lost,3
C00191,654,1,4225,1,1,2,4,Lost,0
C00192,31,8,10580,5,4,3,12,Loyal Customers,3
C00193,103,7,35240,3,4,4,11,Loyal Customers,3
C00194,88,4,11994,4,3,3,10,Loyal Customers,3
C00195,253,1,4781,2,1,2,5,At Risk,3
C00196,38,8,6436,5,4,2,11,Loyal Customers,3
C00197,63,5,21481,4,3,4,11,Loyal Customers,3
C00198,84,6,126285,4,4,5,13,Champions,3
C00199,102,3,34564,3,3,4,10,Loyal Customers,3
C00200,554,1,22463,1,1,4,6,At Risk,0
C00201,716,1,588,1,1,1,3,Lost,0
C00202,222,2,7869,2,2,2,6,At Risk,3
C00203,54,8,28725,5,4,4,13,Champions,3
C00204,85,5,15585,4,3,3,10,Loyal Customers,3
C00205,717,1,1030,1,1,1,3,Lost,0
C00206,69,5,12397,4,3,3,10,Loyal Customers,3
C00207,129,6,8379,3,4,3,10,Loyal Customers,3
C00208,725,1,1061,1,1,1,3,Lost,0
C00209,198,1,8360,3,1,3,7,Potential Loyalists,3
C00210,114,4,10547,3,3,3,9,Potential Loyalists,3
C00211,94,4,43953,4,3,5,12,Loyal Customers,3
C00212,649,1,12237,1,1,3,5,At Risk,0
C00213,53,10,165910,5,5,5,15,Champions,3
C00214,64,11,8516,4,5,3,12,Loyal Customers,3
C00215,64,4,6973,4,3,2,9,Potential Loyalists,3
C00216,163,2,3570,3,2,2,7,Potential Loyalists,3
C00217,105,6,81185,3,4,5,12,Loyal Customers,3
C00218,56,7,16161,4,4,3,11,Loyal Customers,3
C00219,16,17,82297,5,5,5,15,Champions,3
C00220,200,4,9359,2,3,3,8,Potential Loyalists,3
C00221,454,1,46938,1,1,5,7,Potential Loyalists,0
C00222,713,1,6937,1,1,2,4,Lost,0
C00223,530,1,34891,1,1,4,6,At Risk,0
C00224,215,3,32390,2,3,4,9,Potential Loyalists,3
C00225,72,9,266824,4,5,5,14,Champions,3
C00226,604,1,3037,1,1,1,3,Lost,0
C00227,728,1,2091,1,1,1,3,Lost,0
C00228,59,8,8285,4,4,3,11,Loyal Customers,3
C00229,59,12,15593,4,5,3,12,Loyal Customers,3
C00230,379,2,17685,2,2,4,8,Potential Loyalists,0
C00231,693,1,5804,1,1,2,4,Lost,0
C00232,315,1,2350,2,1,1,4,Lost,0
C00233,226,2,30382,2,2,4,8,Potential Loyalists,3
C00234,454,1,1036,1,1,1,3,Lost,0
C00235,43,6,7575,5,4,2,11,Loyal Customers,3
C00236,33,12,45777,5,5,5,15,Champions,3
C00237,290,2,1127,2,2,1,5,At Risk,0
C00238,237,1,3479,2,1,2,5,At Risk,3
C00239,45,13,34594,5,5,4,14,Champions,3
C00240,232,2,32243,2,2,4,8,Potential Loyalists,3
C00241,39,16,11704,5,5,3,13,Champions,3
C00242,591,1,944,1,1,1,3,Lost,0
C00243,133,6,23533,3,4,4,11,Loyal Customers,3
C00244,111,6,28434,3,4,4,11,Loyal Customers,3
C00245,403,1,2464,2,1,1,4,Lost,0
C00246,710,1,10357,1,1,3,5,At Risk,0
C00247,735,1,2586,1,1,1,3,Lost,0
C00248,263,1,8571,2,1,3,6,At Risk,3
C00249,39,14,35088,5,5,4,14,Champions,3
C00250,204,3,11583,2,3,3,8,Potential Loyalists,3
C00251,253,1,14531,2,1,3,6,At Risk,3
C00252,20,16,38855,5,5,4,14,Champions,3
C00253,51,4,19807,5,3,4,12,Loyal Customers,3
C00254,231,1,2923,2,1,1,4,Lost,3
C00255,302,1,10307,2,1,3,6,At Risk,0
C00256,245,3,2259,2,3,1,6,At Risk,3
C00257,103,7,246035,3,4,5,12,Loyal Customers,3
C00258,184,1,1509,3,1,1,5,At Risk,3
C00259,71,4,47616,4,3,5,12,Loyal Customers,3
C00260,171,4,174870,3,3,5,11,Loyal Customers,3
C00261,463,1,635,1,1,1,3,Lost,0
C00262,671,1,1654,1,1,1,3,Lost,0
C00263,25,13,215564,5,5,5,15,Champions,3
C00264,94,6,15916,4,4,3,11,Loyal Customers,3
C00265,654,1,997,1,1,1,3,Lost,0
C00266,204,3,2120,2,3,1,6,At Risk,3
C00267,613,1,6918,1,1,2,4,Lost,0
C00268,85,6,57671,4,4,5,13,Champions,3
C00269,39,6,28230,5,4,4,13,Champions,3
C00270,29,24,46232,5,5,5,15,Champions,2
C00271,321,1,6246,2,1,2,5,At Risk,0
C00272,83,9,10205,4,5,3,12,Loyal Customers,3
C00273,54,9,77088,5,5,5,15,Champions,3
C00274,258,1,3184,2,1,2,5,At Risk,3
C00275,32,8,3852,5,4,2,11,Loyal Customers,3
C00276,576,1,1990,1,1,1,3,Lost,0
C00277,55,9,28012,4,5,4,13,Champions,3
C00278,194,4,75725,3,3,5,11,Loyal Customers,3
C00279,188,2,26238,3,2,4,9,Potential Loyalists,3
C00280,225,1,3287,2,1,2,5,At Risk,3
C00281,88,6,33680,4,4,4,12,Loyal Customers,3
C00282,338,1,4339,2,1,2,5,At Risk,0
C00283,233,3,8553,2,3,3,8,Potential Loyalists,3
C00284,62,4,47679,4,3,5,12,Loyal Customers,3
C00285,49,7,54894,5,4,5,14,Champions,3
C00286,184,1,2236,3,1,1,5,At Risk,3
C00287,333,1,17685,2,1,4,7,Potential Loyalists,0
C00288,86,5,33190,4,3,4,11,Loyal Customers,3
C00289,247,2,8179,2,2,2,6,At Risk,3
C00290,92,3,14515,4,3,3,10,Loyal Customers,3
C00291,10,45,560284,5,5,5,15,Champions,1
C00292,312,1,2733,2,1,1,4,Lost,0
C00293,723,1,19174,1,1,4,6,At Risk,0
C00294,236,1,1463,2,1,1,4,Lost,3
C00295,41,7,397806,5,4,5,14,Champions,1
C00296,108,7,12010,3,4,3,10,Loyal Customers,3
C00297,47,8,33367,5,4,4,13,Champions,3
C00298,316,1,3713,2,1,2,5,At Risk,0
C00299,54,12,58235,5,5,5,15,Champions,3
C00300,177,2,4412,3,2,2,7,Potential Loyalists,3
C00301,121,5,22466,3,3,4,10,Loyal Customers,3
C00302,44,7,332807,5,4,5,14,Champions,1
C00303,135,5,28211,3,3,4,10,Loyal Customers,3
C00304,104,4,10875,3,3,3,9,Potential Loyalists,3
C00305,32,7,25078,5,4,4,13,Champions,3
C00306,179,3,33311,3,3,4,10,Loyal Customers,3
C00307,138,3,12786,3,3,3,9,Potential Loyalists,3
C00308,271,1,1090,2,1,1,4,Lost,3
C00309,57,8,9390,4,4,3,11,Loyal Customers,3
C00310,111,6,9443,3,4,3,10,Loyal Customers,3
C00311,37,7,18143,5,4,4,13,Champions,3
C00312,255,1,3599,2,1,2,5,At Risk,3
C00313,142,2,73507,3,2,5,10,Loyal Customers,3
C00314,158,5,38687,3,3,4,10,Loyal Customers,3
C00315,33,7,88256,5,4,5,14,Champions,3
C00316,514,1,1908,1,1,1,3,Lost,0
C00317,70,8,23328,4,4,4,12,Loyal Customers,3
C00318,371,1,1361,2,1,1,4,Lost,0
C00319,736,1,3583,1,1,2,4,Lost,0
C00320,496,1,5209,1,1,2,4,Lost,0
C00321,51,6,10775,5,4,3,12,Loyal Customers,3
C00322,102,4,1854,3,3,1,7,Potential Loyalists,3
C00323,78,6,13306,4,4,3,11,Loyal Customers,3
C00324,141,4,87883,3,3,5,11,Loyal Customers,3
C00325,270,1,4252,2,1,2,5,At Risk,3
C00326,469,1,1463,1,1,1,3,Lost,0
C00327,266,3,8085,2,3,2,7,Potential Loyalists,3
C00328,71,4,7893,4,3,2,9,Potential Loyalists,3
C00329,791,1,4878,1,1,2,4,Lost,0
C00330,158,5,3101,3,3,1,7,Potential Loyalists,3
C00331,732,1,724,1,1,1,3,Lost,0
C00332,619,1,22982,1,1,4,6,At Risk,0
C00333,649,1,3610,1,1,2,4,Lost,0
C00334,220,1,3721,2,1,2,5,At Risk,3
C00335,10,30,61652,5,5,5,15,Champions,2
C00336,667,1,1916,1,1,1,3,Lost,0
C00337,115,6,75711,3,4,5,12,Loyal Customers,3
C00338,37,8,48679,5,4,5,14,Champions,3
C00339,31,7,73102,5,4,5,14,Champions,3
C00340,594,1,1220,1,1,1,3,Lost,0
C00341,435,1,5225,1,1,2,4,Lost,0
C00342,683,1,1862,1,1,1,3,Lost,0
C00343,215,3,28550,2,3,4,9,Potential Loyalists,3
C00344,196,4,3870,3,3,2,8,Potential Loyalists,3
C00345,79,6,4672,4,4,2,10,Loyal Customers,3
C00346,496,1,1873,1,1,1,3,Lost,0
C00347,669,1,2112,1,1,1,3,Lost,0
C00348,335,1,3232,2,1,2,5,At Risk,0
C00349,183,4,3761,3,3,2,8,Potential Loyalists,3
C00350,8,26,34815,5,5,4,14,Champions,2
C00351,623,1,7214,1,1,2,4,Lost,0
C00352,47,5,43805,5,3,5,13,Champions,3
C00353,401,1,4639,2,1,2,5,At Risk,0
C00354,77,7,80618,4,4,5,13,Champions,3
C00355,225,2,3358,2,2,2,6,At Risk,3
C00356,98,8,71709,3,4,5,12,Loyal Customers,3
C00357,52,6,14630,5,4,3,12,Loyal Customers,3
C00358,134,4,8368,3,3,3,9,Potential Loyalists,3
C00359,241,1,22486,2,1,4,7,Potential Loyalists,3
C00360,673,1,2590,1,1,1,3,Lost,0
C00361,64,11,30352,4,5,4,13,Champions,3
C00362,92,7,23807,4,4,4,12,Loyal Customers,3
C00363,26,8,18472,5,4,4,13,Champions,3
C00364,63,4,86674,4,3,5,12,Loyal Customers,3
C00365,105,4,28349,3,3,4,10,Loyal Customers,3
C00366,98,7,53469,3,4,5,12,Loyal Customers,3
C00367,67,5,10023,4,3,3,10,Loyal Customers,3
C00368,185,4,11258,3,3,3,9,Potential Loyalists,3
C00369,123,5,3682,3,3,2,8,Potential Loyalists,3
C00370,163,4,10184,3,3,3,9,Potential Loyalists,3
C00371,268,1,44968,2,1,5,8,Potential Loyalists,3
C00372,94,8,283264,4,4,5,13,Champions,3
C00373,383,2,3554,2,2,2,6,At Risk,0
C00374,95,8,129525,4,4,5,13,Champions,3
C00375,77,10,28951,4,5,4,13,Champions,3
C00376,75,6,59014,4,4,5,13,Champions,3
C00377,255,1,2589,2,1,1,4,Lost,3
C00378,71,6,15713,4,4,3,11,Loyal Customers,3
C00379,58,4,67260,4,3,5,12,Loyal Customers,3
C00380,61,11,12911,4,5,3,12,Loyal Customers,3
C00381,189,3,6170,3,3,2,8,Potential Loyalists,3
C00382,262,2,103488,2,2,5,9,Potential Loyalists,3
C00383,250,1,359,2,1,1,4,Lost,3
C00384,447,1,9534,1,1,3,5,At Risk,0
C00385,692,1,9385,1,1,3,5,At Risk,0
C00386,774,1,3699,1,1,2,4,Lost,0
C00387,97,6,12089,3,4,3,10,Loyal Customers,3
C00388,49,6,22440,5,4,4,13,Champions,3
C00389,77,10,75780,4,5,5,14,Champions,3
C00390,88,8,7053,4,4,2,10,Loyal Customers,3
C00391,128,5,60188,3,3,5,11,Loyal Customers,3
C00392,149,4,11906,3,3,3,9,Potential Loyalists,3
C00393,177,3,14056,3,3,3,9,Potential Loyalists,3
C00394,120,4,8730,3,3,3,9,Potential Loyalists,3
C00395,184,2,4831,3,2,2,7,Potential Loyalists,3
C00396,151,4,2868,3,3,1,7,Potential Loyalists,3
C00397,128,6,17328,3,4,4,11,Loyal Customers,3
C00398,48,5,13521,5,3,3,11,Loyal Customers,3
C00399,85,4,30991,4,3,4,11,Loyal Customers,3
C00400,107,6,24820,3,4,4,11,Loyal Customers,3
C00401,757,1,2880,1,1,1,3,Lost,0
C00402,79,5,5286,4,3,2,9,Potential Loyalists,3
C00403,664,1,2957,1,1,1,3,Lost,0
C00404,98,4,21690,3,3,4,10,Loyal Customers,3
C00405,27,13,26309,5,5,4,14,Champions,3
C00406,175,3,7736,3,3,2,8,Potential Loyalists,3
C00407,88,8,12220,4,4,3,11,Loyal Customers,3
C00408,689,1,1240,1,1,1,3,Lost,0
C00409,348,1,38020,2,1,4,7,Potential Loyalists,0
C00410,500,1,2290,1,1,1,3,Lost,0
C00411,385,2,14394,2,2,3,7,Potential Loyalists,0
C00412,447,1,2194,1,1,1,3,Lost,0
C00413,199,4,82877,3,3,5,11,Loyal Customers,3
C00414,57,11,55324,4,5,5,14,Champions,3
C00415,652,1,2221,1,1,1,3,Lost,0
C00416,262,1,4414,2,1,2,5,At Risk,3
C00417,332,2,34010,2,2,4,8,Potential Loyalists,0
C00418,509,1,3155,1,1,2,4,Lost,0
C00419,72,7,32977,4,4,4,12,Loyal Customers,3
C00420,341,1,8856,2,1,3,6,At Risk,0
C00421,48,6,230939,5,4,5,14,Champions,3
C00422,615,1,5402,1,1,2,4,Lost,0
C00423,662,1,4260,1,1,2,4,Lost,0
C00424,155,2,52284,3,2,5,10,Loyal Customers,3
C00425,121,6,47861,3,4,5,12,Loyal Customers,3
C00426,64,9,94395,4,5,5,14,Champions,3
C00427,221,1,2244,2,1,1,4,Lost,3
C00428,50,6,16177,5,4,3,12,Loyal Customers,3
C00429,398,1,3105,2,1,1,4,Lost,0
C00430,366,1,1596,2,1,1,4,Lost,0
C00431,244,1,5536,2,1,2,5,At Risk,3
C00432,94,6,22464,4,4,4,12,Loyal Customers,3
C00433,60,6,30817,4,4,4,12,Loyal Customers,3
C00434,105,5,12743,3,3,3,9,Potential Loyalists,3
C00435,738,1,1455,1,1,1,3,Lost,0
C00436,170,3,3631,3,3,2,8,Potential Loyalists,3
C00437,363,2,1547,2,2,1,5,At Risk,0
C00438,787,1,5216,1,1,2,4,Lost,0
C00439,650,1,2434,1,1,1,3,Lost,0
C00440,419,1,2255,2,1,1,4,Lost,0
C00441,235,3,2784,2,3,1,6,At Risk,3
C00442,115,6,13359,3,4,3,10,Loyal Customers,3
C00443,332,1,41974,2,1,5,8,Potential Loyalists,0
C00444,509,1,3147,1,1,2,4,Lost,0
C00445,490,1,11157,1,1,3,5,At Risk,0
C00446,444,1,3634,1,1,2,4,Lost,0
C00447,720,1,3606,1,1,2,4,Lost,0
C00448,734,1,2143,1,1,1,3,Lost,0
C00449,34,6,12045,5,4,3,12,Loyal Customers,3
C00450,249,2,3980,2,2,2,6,At Risk,3
C00451,137,5,13253,3,3,3,9,Potential Loyalists,3
C00452,69,8,11066,4,4,3,11,Loyal Customers,3
C00453,401,1,2992,2,1,1,4,Lost,0
C00454,118,5,43063,3,3,5,11,Loyal Customers,3
C00455,189,1,12384,3,1,3,7,Potential Loyalists,3
C00456,73,6,42617,4,4,5,13,Champions,3
C00457,153,2,51716,3,2,5,10,Loyal Customers,3
C00458,190,1,10321,3,1,3,7,Potential Loyalists,3
C00459,220,2,25981,2,2,4,8,Potential Loyalists,3
C00460,62,11,17662,4,5,4,13,Champions,3
C00461,355,1,5231,2,1,2,5,At Risk,0
C00462,85,3,3884,4,3,2,9,Potential Loyalists,3
C00463,173,4,82174,3,3,5,11,Loyal Customers,3
C00464,156,2,8931,3,2,3,8,Potential Loyalists,3
C00465,607,1,1913,1,1,1,3,Lost,0
C00466,332,1,4630,2,1,2,5,At Risk,0
C00467,52,10,105796,5,5,5,15,Champions,3
C00468,123,6,5609,3,4,2,9,Potential Loyalists,3
C00469,91,7,12620,4,4,3,11,Loyal Customers,3
C00470,53,12,39513,5,5,4,14,Champions,3
C00471,50,10,37208,5,5,4,14,Champions,3
C00472,31,20,43983,5,5,5,15,Champions,2
C00473,542,1,672,1,1,1,3,Lost,0
C00474,123,4,17480,3,3,4,10,Loyal Customers,3
C00475,97,7,129914,3,4,5,12,Loyal Customers,3
C00476,163,2,3826,3,2,2,7,Potential Loyalists,3
C00477,90,4,9421,4,3,3,10,Loyal Customers,3
C00478,62,7,30835,4,4,4,12,Loyal Customers,3
C00479,31,9,41718,5,5,4,14,Champions,3
C00480,421,1,3853,2,1,2,5,At Risk,0
C00481,327,2,1474,2,2,1,5,At Risk,0
C00482,485,1,4873,1,1,2,4,Lost,0
C00483,135,5,11738,3,3,3,9,Potential Loyalists,3
C00484,68,4,26040,4,3,4,11,Loyal Customers,3
C00485,34,15,14553,5,5,3,13,Champions,3
C00486,35,10,51888,5,5,5,15,Champions,3
C00487,778,1,5600,1,1,2,4,Lost,0
C00488,382,1,13385,2,1,3,6,At Risk,0
C00489,311,1,1508,2,1,1,4,Lost,0
C00490,57,7,87715,4,4,5,13,Champions,3
C00491,48,7,44971,5,4,5,14,Champions,3
C00492,151,2,1336,3,2,1,6,At Risk,3
C00493,97,2,2726,3,2,1,6,At Risk,3
C00494,458,1,39359,1,1,4,6,At Risk,0
C00495,51,8,87323,5,4,5,14,Champions,3
C00496,68,8,12119,4,4,3,11,Loyal Customers,3
C00497,74,6,16917,4,4,3,11,Loyal Customers,3
C00498,96,7,9877,4,4,3,11,Loyal Customers,3
C00499,307,1,1630,2,1,1,4,Lost,0
C00500,785,1,2336,1,1,1,3,Lost,0
C00501,699,1,887,1,1,1,3,Lost,0
C00502,209,1,3584,2,1,2,5,At Risk,3
C00503,672,1,2860,1,1,1,3,Lost,0
C00504,78,7,14990,4,4,3,11,Loyal Customers,3
C00505,109,6,74988,3,4,5,12,Loyal Customers,3
C00506,52,8,28788,5,4,4,13,Champions,3
C00507,109,6,18019,3,4,4,11,Loyal Customers,3
C00508,111,6,18821,3,4,4,11,Loyal Customers,3
C00509,301,1,3920,2,1,2,5,At Risk,0
C00510,129,5,228778,3,3,5,11,Loyal Customers,3
C00511,26,17,67483,5,5,5,15,Champions,3
C00512,56,7,5012,4,4,2,10,Loyal Customers,3
C00513,738,1,1815,1,1,1,3,Lost,0
C00514,388,2,19782,2,2,4,8,Potential Loyalists,0
